Source,URL,Neighborhood,District,Zone,Price_USD,Area_SQM,Price_Per_SQM,Scraped_Date
Dubizzle,https://www.olx.com.lb/ad/faqra-club-carr%C3%A9-d-or-chalet-4-bedrooms-307-sqm-ID117041276.html,Unknown,Unknown,Unknown,1100000.0,307.0,3583.1,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-165m2-30m2-terrace-astonishing-view-private-street-to-ID117013629.html,Unknown,Unknown,Unknown,220000.0,165.0,1333.3,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ballouneh-100m2-well-maintained-perfect-catch-el-ID116986467.html,Unknown,Unknown,Unknown,130000.0,100.0,1300.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ballouneh-165m2-brand-new-luxury-apartment-view-to-ID116964817.html,Unknown,Unknown,Unknown,223000.0,165.0,1351.5,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ballouneh-170m2-%7C-100m2-garden-%7C-prime-location-%7C-catch-%7C-el-ID116920831.html,Unknown,Unknown,Unknown,150000.0,170.0,882.4,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-150m2-well-maintained-panoramic-view-calm-area-tooh-ID116884315.html,Unknown,Unknown,Unknown,150000.0,150.0,1000.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-210m2-renovated-flat-prime-location-calm-street-elda-ID116876062.html,Unknown,Unknown,Unknown,162000.0,210.0,771.4,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ballouneh-150m2-open-view-well-lighted-catch-el-ID116872533.html,Unknown,Unknown,Unknown,145000.0,150.0,966.7,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ballouneh-245m2-well-maintained-perfect-catch-el-ID116855631.html,Unknown,Unknown,Unknown,155000.0,145.0,1069.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ballouneh-145m2-different-sizes-calm-area-open-view-new-to-ID116853756.html,Unknown,Unknown,Unknown,203000.0,145.0,1400.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-210m2-70m2-terrace-garden-high-end-brand-new-view-ID116840775.html,Unknown,Unknown,Unknown,225000.0,210.0,1071.4,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ballouneh-140m2-furnished-flat-open-view-calm-area-el-ID116837046.html,Unknown,Unknown,Unknown,140000.0,140.0,1000.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-200m2-fully-furnished-luxury-flat-partial-sea-viewda-ID116834436.html,Unknown,Unknown,Unknown,155000.0,200.0,775.0,2026-08-23 06:20
